Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,TPT Provinsi,TPAK Provinsi
Jawa Barat,Sumedang,6.94,67.76,6.74,68.91
Jawa Barat,Majalengka,4.12,68.5,6.74,68.91
Jawa Barat,Cirebon,7.65,66.16,6.74,68.91
Jawa Barat,Kuningan,9.49,61.95,6.74,68.91
Jawa Barat,Ciamis,3.52,66.26,6.74,68.91
Jawa Barat,Tasikmalaya,3.89,68.37,6.74,68.91
Jawa Barat,Kota Bekasi,7.9,64.65,6.74,68.91
Jawa Barat,Bandung,6.52,67.1,6.74,68.91
Jawa Barat,Cianjur,7.71,72.31,6.74,68.91
Jawa Barat,Sukabumi,7.32,67.75,6.74,68.91
Jawa Barat,Bogor,8.47,64.22,6.74,68.91
Jawa Barat,Subang,7.65,70.03,6.74,68.91
Jawa Barat,Kota Cirebon,7.66,68.71,6.74,68.91
Jawa Tengah,Kota Tegal,6.05,66.64,4.33,73.17
Jawa Tengah,Cilacap,8.74,66.6,4.33,73.17
Jawa Tengah,Demak,5.38,70.76,4.33,73.17
Jawa Tengah,Semarang,4.05,76.07,4.33,73.17
Jawa Tengah,Temanggung,2.32,75.8,4.33,73.17
Jawa Tengah,Kendal,5.76,76.93,4.33,73.17
Jawa Tengah,Batang,6.06,76.62,4.33,73.17
Jawa Tengah,Pekalongan,3.25,70.46,4.33,73.17
Jawa Tengah,Pemalang,6.55,69.58,4.33,73.17
Jawa Tengah,Tegal,8.6,67.61,4.33,73.17
Jawa Tengah,Brebes,8.98,66.1,4.33,73.17
Jawa Tengah,Kota Magelang,5.25,69.66,4.33,73.17
Jawa Tengah,Kota Surakarta,4.58,69.18,4.33,73.17
Jawa Tengah,Kota Salatiga,4.57,72.09,4.33,73.17
Jawa Tengah,Kota Semarang,5.99,69.42,4.33,73.17
Jawa Tengah,Kota Pekalongan,5.02,73.95,4.33,73.17
Jawa Tengah,Jawa Tengah,5.13,71.72,4.33,73.17
Jawa Tengah,Jepara,3.35,71.57,4.33,73.17
Jawa Tengah,Pati,4.29,73.1,4.33,73.17
Jawa Tengah,Kudus,3.25,72.19,4.33,73.17
Jawa Tengah,Boyolali,4.05,74.73,4.33,73.17
Jawa Tengah,Banyumas,6.35,64.6,4.33,73.17
Jawa Tengah,Blora,3.1,78.02,4.33,73.17
Jawa Tengah,Grobogan,4.02,75.81,4.33,73.17
Jawa Tengah,Sragen,3.87,68.6,4.33,73.17
Jawa Tengah,Karanganyar,4.35,70.69,4.33,73.17
Jawa Tengah,Wonogiri,1.92,82.45,4.33,73.17
Jawa Tengah,Sukoharjo,3.4,67.66,4.33,73.17
Jawa Tengah,Klaten,4.2,66.71,4.33,73.17
Jawa Tengah,Rembang,2.6,72.75,4.33,73.17
Jawa Tengah,Magelang,4.42,79.45,4.33,73.17
Jawa Tengah,Wonosobo,4.95,73.59,4.33,73.17
Jawa Tengah,Purbalingga,5.61,73.45,4.33,73.17
Jawa Tengah,Purworejo,4.02,74.76,4.33,73.17
Jawa Tengah,Kebumen,5.11,74.54,4.33,73.17
Jawa Tengah,Banjarnegara,6.26,71.64,4.33,73.17
DI Yogyakarta,Bantul,3.78,75.06,3.18,73.73
DI Yogyakarta,Gunung Kidul,2.09,76.66,3.18,73.73
DI Yogyakarta,Sleman,4.47,71.18,3.18,73.73
DI Yogyakarta,Kulon Progo,2.4,75.75,3.18,73.73
DI Yogyakarta,Kota Yogyakarta,6.07,73.2,3.18,73.73
DI Yogyakarta,DI Yogyakarta,3.69,74.08,3.18,73.73
Jawa Timur,Mojokerto,4.67,72.51,3.61,74.25
Jawa Timur,Sidoarjo,8.05,69.62,3.61,74.25
Jawa Timur,Pasuruan,5.48,71.21,3.61,74.25
Jawa Timur,Probolinggo,3.24,69.48,3.61,74.25
Jawa Timur,Situbondo,3.27,75.28,3.61,74.25
Jawa Timur,Bondowoso,4.15,74.39,3.61,74.25
Jawa Timur,Banyuwangi,4.75,79.04,3.61,74.25
Jawa Timur,Jombang,4.66,71.91,3.61,74.25
Jawa Timur,Jember,4.01,72.3,3.61,74.25
Jawa Timur,Malang,5.7,70.66,3.61,74.25
Jawa Timur,Kediri,5.79,68.74,3.61,74.25
Jawa Timur,Blitar,4.91,73.5,3.61,74.25
Jawa Timur,Tulungagung,5.65,74.7,3.61,74.25
Jawa Timur,Jawa Timur,4.88,72.56,3.61,74.25
Jawa Timur,Kota Surabaya,6.76,68.73,3.61,74.25
Jawa Timur,Ponorogo,4.66,75.88,3.61,74.25
Jawa Timur,Lumajang,3.67,68.49,3.61,74.25
Jawa Timur,Pacitan,1.83,81.64,3.61,74.25
Jawa Timur,Trenggalek,4.52,80.72,3.61,74.25
Jawa Timur,Magetan,4.16,78.48,3.61,74.25
Jawa Timur,Kota Madiun,5.85,69.29,3.61,74.25
Jawa Timur,Kota Mojokerto,4.73,72.5,3.61,74.25
Jawa Timur,Kota Pasuruan,5.64,75.65,3.61,74.25
Jawa Timur,Kota Probolinggo,4.53,70.61,3.61,74.25
Jawa Timur,Kota Malang,6.8,67.58,3.61,74.25
Jawa Timur,Kota Blitar,5.24,72.26,3.61,74.25
Jawa Timur,Kota Kediri,4.06,71.83,3.61,74.25
Jawa Timur,Madiun,5.14,72.49,3.61,74.25
Jawa Timur,Sumenep,1.71,78.86,3.61,74.25
Jawa Timur,Sampang,2.72,73.54,3.61,74.25
Jawa Timur,Bangkalan,6.18,71.49,3.61,74.25
Jawa Timur,Gresik,6.82,70.12,3.61,74.25
Jawa Timur,Lamongan,5.46,75.08,3.61,74.25
Jawa Timur,Tuban,4.4,74.73,3.61,74.25
Jawa Timur,Bojonegoro,4.63,74.29,3.61,74.25
Jawa Timur,Ngawi,2.41,69.43,3.61,74.25
Jawa Timur,Pamekasan,1.74,77.14,3.61,74.25
Jawa Timur,Nganjuk,4.68,66.89,3.61,74.25
Jawa Timur,Kota Batu,4.52,78.99,3.61,74.25
Banten,Serang,9.94,63.22,6.64,65.82
Banten,Tangerang,6.94,66.87,6.64,65.82
Banten,Lebak,7.57,67.9,6.64,65.82
Banten,Banten,7.52,64.44,6.64,65.82
Banten,Kota Tangerang Selatan,5.81,60.5,6.64,65.82
Banten,Pandeglang,9.05,60.33,6.64,65.82
Banten,Kota Cilegon,7.25,62.7,6.64,65.82
Banten,Kota Tangerang,6.76,63.39,6.64,65.82
Banten,Kota Serang,7.45,68.44,6.64,65.82
Bali,Jembrana,1.44,67.36,1.58,77.4
Bali,Buleleng,3.12,69.51,1.58,77.4
Bali,Tabanan,1.29,75.42,1.58,77.4
Bali,Badung,0.4,72.6,1.58,77.4
Bali,Gianyar,1.46,76.11,1.58,77.4
Bali,Klungkung,1.57,76.05,1.58,77.4
Bali,Karang Asem,0.62,80.61,1.58,77.4
Bali,Kota Denpasar,2.29,71.7,1.58,77.4
Bali,Bangli,0.75,83.11,1.58,77.4
Bali,Bali,1.57,73.77,1.58,77.4
Nusa Tenggara Barat,Kota Mataram,4.78,68.26,3.22,76.5
Nusa Tenggara Barat,Bima,2.15,75.31,3.22,76.5
Nusa Tenggara Barat,Dompu,2.36,72.48,3.22,76.5
Nusa Tenggara Barat,Sumbawa Barat,3.54,70.87,3.22,76.5
Nusa Tenggara Barat,Lombok Timur,2.47,71.07,3.22,76.5
Nusa Tenggara Barat,Sumbawa,2.79,71.17,3.22,76.5
Nusa Tenggara Barat,Lombok Barat,3.12,74.0,3.22,76.5
Nusa Tenggara Barat,Lombok Utara,1.4,76.19,3.22,76.5
Nusa Tenggara Barat,Nusa Tenggara Barat,2.8,73.31,3.22,76.5
Nusa Tenggara Barat,Kota Bima,3.57,78.09,3.22,76.5
Nusa Tenggara Barat,Lombok Tengah,2.78,76.87,3.22,76.5
Nusa Tenggara Timur,Nagekeo,3.54,76.86,3.23,75.81
Nusa Tenggara Timur,Nusa Tenggara Timur,3.14,75.72,3.23,75.81
Nusa Tenggara Timur,Kota Kupang,5.69,64.75,3.23,75.81
Nusa Tenggara Timur,Malaka,3.06,73.48,3.23,75.81
Nusa Tenggara Timur,Sabu Raijua,4.06,76.14,3.23,75.81
Nusa Tenggara Timur,Manggarai Timur,1.63,80.33,3.23,75.81
Nusa Tenggara Timur,Sumba Barat Daya,2.08,80.15,3.23,75.81
Nusa Tenggara Timur,Belu,5.45,69.47,3.23,75.81
Nusa Tenggara Timur,Manggarai Barat,4.42,70.71,3.23,75.81
Nusa Tenggara Timur,Sumba Barat,3.52,78.83,3.23,75.81
Nusa Tenggara Timur,Sumba Tengah,1.89,78.79,3.23,75.81
Nusa Tenggara Timur,Sumba Timur,2.21,81.36,3.23,75.81
Nusa Tenggara Timur,Kupang,3.22,76.93,3.23,75.81
Nusa Tenggara Timur,Timor Tengah Utara,1.96,75.74,3.23,75.81
Nusa Tenggara Timur,Alor,2.52,80.84,3.23,75.81
Nusa Tenggara Timur,Timor Tengah Selatan,2.64,83.13,3.23,75.81
Nusa Tenggara Timur,Flores Timur,3.79,72.5,3.23,75.81
Nusa Tenggara Timur,Sikka,2.62,74.35,3.23,75.81
Nusa Tenggara Timur,Ende,2.59,74.69,3.23,75.81
Nusa Tenggara Timur,Ngada,4.0,74.78,3.23,75.81
Nusa Tenggara Timur,Manggarai,2.44,79.14,3.23,75.81
Nusa Tenggara Timur,Rote Ndao,3.65,68.99,3.23,75.81
Nusa Tenggara Timur,Lembata,2.55,77.49,3.23,75.81
Kalimantan Barat,5.05,69.42,,4.23,67.64
Kalimantan Barat,Sambas,5.04,72.72,4.23,67.64
