Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja
Kalimantan Timur,Kutai Kartanegara,4.05,65.32
Kalimantan Timur,Kutai Barat,6.16,70.51
Kalimantan Timur,Kota Samarinda,5.92,65.49
Kalimantan Timur,Paser,4.72,62.95
Kalimantan Utara,Kota Tarakan,5.25,66.14
Kalimantan Utara,Malinau,3.19,74.26
Kalimantan Utara,Bulungan,4.54,71.86
Kalimantan Utara,Tana Tidung,3.24,75.88
Kalimantan Utara,Nunukan,2.69,71.93
Kalimantan Utara,Kalimantan Utara,4.01,70.35
Sulawesi Utara,Minahasa,7.65,61.11
Sulawesi Utara,Kepulauan Sangihe,2.56,65.19
Sulawesi Utara,Kepulauan Talaud,3.1,73.88
Sulawesi Utara,Minahasa Selatan,4.98,63.62
Sulawesi Utara,Minahasa Utara,7.17,61.59
Sulawesi Utara,Bolaang Mongondow Utara,4.48,64.45
Sulawesi Utara,Siau Tagulandang Biaro,2.09,62.76
Sulawesi Utara,Bolaang Mongondow,4.61,65.5
Sulawesi Utara,Sulawesi Utara,6.1,64.09
Sulawesi Utara,Kota Kotamobagu,6.34,69.41
Sulawesi Utara,Kota Tomohon,8.52,63.64
Sulawesi Utara,Bolaang Mongondow Selatan,2.55,64.46
Sulawesi Utara,Kota Bitung,7.82,64.54
Sulawesi Utara,Kota Manado,8.85,61.27
Sulawesi Utara,Bolaang Mongondow Timur,5.35,69.23
Sulawesi Utara,Minahasa Tenggara,2.84,67.97
Sulawesi Tengah,Banggai Kepulauan,1.56,72.76
Sulawesi Tengah,Sulawesi Tengah,2.95,69.85
Sulawesi Tengah,Kota Palu,5.65,69.28
Sulawesi Tengah,Banggai Laut,3.64,59.17
Sulawesi Tengah,Sigi,2.6,70.94
Sulawesi Tengah,Tojo Una-Una,2.83,75.06
Sulawesi Tengah,Parigi Moutong,2.11,73.3
Sulawesi Tengah,Buol,3.14,69.43
Sulawesi Tengah,Toli-Toli,3.12,68.8
Sulawesi Tengah,Poso,1.67,71.07
Sulawesi Tengah,Morowali,2.84,58.52
Sulawesi Tengah,Banggai,3.12,71.7
Sulawesi Tengah,Morowali Utara,2.23,70.33
Sulawesi Tengah,Donggala,2.79,66.57
Sulawesi Selatan,Soppeng,4.34,59.44
Sulawesi Selatan,Pangkajene Dan Kepulauan,5.05,69.98
Sulawesi Selatan,Luwu Timur,5.42,69.25
Sulawesi Selatan,Toraja Utara,2.6,77.5
Sulawesi Selatan,Kota Makassar,10.6,58.72
Sulawesi Selatan,Kota Parepare,5.86,65.52
Sulawesi Selatan,Kota Palopo,7.81,65.75
Sulawesi Selatan,Sulawesi Selatan,4.33,65.66
Sulawesi Selatan,Luwu,3.7,68.61
Sulawesi Selatan,Enrekang,1.53,68.09
Sulawesi Selatan,Pinrang,3.64,60.51
Sulawesi Selatan,Sidenreng Rappang,3.29,55.49
Sulawesi Selatan,Luwu Utara,2.63,66.98
Sulawesi Selatan,Wajo,2.1,65.78
Sulawesi Selatan,Barru,5.89,62.26
Sulawesi Selatan,Maros,3.64,61.45
Sulawesi Selatan,Sinjai,1.69,67.16
Sulawesi Selatan,Gowa,3.43,69.63
Sulawesi Selatan,Takalar,3.58,65.86
Sulawesi Selatan,Jeneponto,2.13,66.44
Sulawesi Selatan,Bantaeng,3.71,75.58
Sulawesi Selatan,Bulukumba,1.31,70.78
Sulawesi Selatan,Kepulauan Selayar,1.98,71.88
Sulawesi Selatan,Bone,2.88,62.69
Sulawesi Selatan,Tana Toraja,3.37,82.35
Sulawesi Tenggara,Buton Utara,1.93,80.95
