id,companyName,categoriesName
1032874738,ITC Auto Multifinance,"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032632530,PT Bel Angkasa Raya,"Penjualan / Pemasaran,Penjualan Ritel"
1032657025,PT Asuransi Jiwa Astra,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan"
1032730404,PT Bersih Bijak Sejahtera (Surabaya),"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032875365,PT Saptawarna Cemerlang,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032857589,PT Bintang Mitra Dayasembada,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032875875,PT Dharma Karyatama Mulia,"Manufaktur,Pemeliharaan"
1032875066,PT Daelim Dobidos Indonesia,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032875015,PT New Hope Farm Indonesia,"Sains,Pertanian"
1032874972,PT FinAccel Teknologi Indonesia,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032680067,PT Artajasa Pembayaran Elektronis,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database"
1032856984,PT Kharisma Bali Hotel Development,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran"
1032632493,PT. Sukses Tribayu Solusi Cerdas,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032891500,PT Ciptabuana Sukses Lestari,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum"
1032679937,PT Artajasa Pembayaran Elektronis,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032648674,PT Epiroc Southern Asia,"Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT"
1032874657,PT Hon Chuan Indonesia,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032679935,Universitas 17 Agustus 1945 Jakarta,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum"
1032858026,PT Simenteknindo,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032858012,PT Saba Indomedika,"Penjualan / Pemasaran,Penjualan Ritel"
